Date,Open,High,Low,Close,Adj Close,TotalVolume
1/28/2015,206.11,206.37,198.42,199.37,,3149606
1/29/2015,201.07,205.98,196.5,205.2,,3548106
1/30/2015,203.96,207.47,203,203.6,,3006959
2/2/2015,203.97,211.95,203.3,210.94,,4149186
2/3/2015,213.22,220.37,211.27,218.36,,4826244
2/4/2015,218.29,221.48,216.8,218.55,,3305377
2/5/2015,219.88,225.48,219.64,220.99,,3522947
2/6/2015,222,223.4,216.5,217.36,,3243931
2/9/2015,215.38,217.93,211.99,217.48,,3472423
2/10/2015,217.55,220.5,215,216.29,,5390542
2/11/2015,212.21,214.74,207.28,212.8,,9769102
2/12/2015,193.57,203.09,193.28,202.88,,15649607
2/13/2015,202.9,205.99,200.91,203.77,,6191003
2/17/2015,205.7,205.7,201.5,204.35,,3979647
2/18/2015,204.17,206.17,202.6,204.46,,2713598
2/19/2015,205,212.44,203.75,211.71,,5154148
2/20/2015,210.78,217.6,209.81,217.11,,5982089
2/23/2015,215.66,218.2,206.33,207.34,,8499775
2/24/2015,207.29,207.29,201.7,204.11,,6603560
2/25/2015,204.94,207.14,202.58,203.76,,3909520
2/26/2015,204,211.09,202.22,207.19,,6472855
2/27/2015,206.9,208.55,202.8,203.34,,3882084
3/2/2015,202.7,203.34,195.82,197.32,,7922065
3/3/2015,196.81,200.24,195.32,199.56,,4432329
3/4/2015,199.25,202.52,197.21,202.43,,4221962
3/5/2015,202.85,206.19,200.15,200.63,,4877015
3/6/2015,199.21,200.75,192.15,193.88,,6712438
3/9/2015,194.39,194.49,188.25,190.88,,6736724
3/10/2015,188.46,193.5,187.6,190.32,,5579691
3/11/2015,191.15,196.18,191.01,193.74,,4974871
3/12/2015,193.75,194.45,189.75,191.07,,4149294
3/13/2015,188.95,191.75,187.32,188.68,,5434298
3/16/2015,192,195.91,189.8,195.7,,5628783
3/17/2015,195.43,198.71,193.94,194.73,,4894052
3/18/2015,194.96,200.88,193.11,200.71,,4820936
3/19/2015,202,204.59,194.53,195.65,,8475244
3/20/2015,197.45,198.99,195.62,198.08,,4269467
3/23/2015,198.5,200.5,197.47,199.63,,2631626
3/24/2015,201.58,203.79,199.75,201.72,,3649860
3/25/2015,198.27,198.59,192.7,194.3,,5730389
3/26/2015,193.92,194.79,189.7,190.4,,4127956
3/27/2015,189.07,189.29,181.4,185,,8604947
3/30/2015,185.85,192.25,181.8,190.57,,10089516
3/31/2015,193.53,193.76,188.41,188.77,,5026569
4/1/2015,188.7,192.3,186.05,187.59,,3794621
4/2/2015,190.23,193.23,190,191,,5010368
4/6/2015,198,207.75,197.5,203.1,,12455811
4/7/2015,202.51,205.06,201.14,203.25,,4347864
4/8/2015,208.2,210.9,205.87,207.67,,6303117
4/9/2015,208.43,210.37,206.12,210.09,,3800225
4/10/2015,209.85,211.65,209,210.9,,4067676
4/13/2015,210.43,213,209.05,209.78,,3758230
4/14/2015,208.57,209.49,205.5,207.46,,3025963
4/15/2015,207.46,209.59,206.6,207.83,,1952378
4/16/2015,207.7,209.17,206.29,206.7,,1659059
4/17/2015,204.99,206.88,203.5,206.79,,2469926
4/20/2015,206.78,207.85,203.85,205.27,,2559251
4/21/2015,205.8,210.75,204.31,209.41,,3432541
4/22/2015,212.5,221.88,211.69,219.44,,7863037
4/23/2015,218.27,221.48,217.15,218.6,,4411184
4/24/2015,220.5,220.8,218.01,218.43,,2427843
4/27/2015,222.56,238.75,222,231.55,,11672627
4/28/2015,234.75,235.5,228.03,230.48,,6085379
4/29/2015,230.05,234.97,227.63,232.45,,3936077
4/30/2015,230.39,232.89,225.17,226.05,,3911857
5/1/2015,229.94,231.77,220.4,226.03,,5281689
5/4/2015,228.18,234.73,227.11,230.51,,4434596
5/5/2015,237.76,239.5,229.13,232.95,,5796873
5/6/2015,234.1,234.47,228.2,230.43,,5270933
5/7/2015,221,237.48,220.25,236.8,,9455909
5/8/2015,235.99,238.41,233.7,236.61,,4668236
5/11/2015,236.29,242.88,235.31,239.49,,5672262
5/12/2015,240.11,246.35,238.19,244.74,,6363429
5/13/2015,247.61,248.3,242.25,243.18,,5440165
5/14/2015,244.82,244.89,241.25,244.1,,2895936
5/15/2015,243.93,249.4,242.5,248.84,,4527563
5/18/2015,247,249.9,246,248.75,,3353212
5/19/2015,248.43,251,246.15,247.14,,3674231
5/20/2015,247.13,247.74,241.37,244.35,,3755569
5/21/2015,243.03,246.62,242.36,245.62,,1970643
5/22/2015,245.38,248.6,245.01,247.73,,2223089
5/26/2015,247.68,252,246.5,247.46,,3498682
5/27/2015,248.51,249.5,245.55,247.43,,3408200
5/28/2015,247.03,251.8,245.05,251.45,,3647283
5/29/2015,251,252.87,249.43,250.8,,3789283
6/1/2015,251.41,251.6,247.47,249.45,,2505057
6/2/2015,248.92,249.4,246.3,248.35,,2134809
6/3/2015,248.2,250.72,247.01,248.99,,1781505
6/4/2015,247.5,249.3,245.71,245.92,,2453615
6/5/2015,246,249.7,245.68,249.14,,3022026
6/8/2015,250.85,258.75,250.31,256.29,,5016997
6/9/2015,255.4,257.74,254.14,256,,2611146
6/10/2015,251.9,254,248.5,250.7,,3454453
6/11/2015,253.26,254.37,250.43,251.41,,2044058
6/12/2015,250.21,253.46,250.21,250.69,,1422335
6/15/2015,249.7,251.28,246.01,250.38,,2186175
6/16/2015,250.13,253.44,249.1,253.12,,1984678
6/17/2015,252.17,264.36,252.02,260.41,,5512920
6/18/2015,262,263.46,260.02,261.89,,2782703
6/19/2015,262.4,263.8,260.1,262.51,,2463013
6/22/2015,262.15,264.4,255.69,259.79,,4561079
6/23/2015,260.32,268,258.57,267.67,,3870818
6/24/2015,266.98,267.35,263.72,265.17,,2412293
6/25/2015,266.45,271.41,265.25,268.79,,2849204
6/26/2015,268.89,269.11,266,267.09,,3838434
6/29/2015,261.95,265.95,260.7,262.02,,3478909
6/30/2015,264.8,270.92,264,268.26,,3086935
7/1/2015,271.11,272.62,267.85,269.15,,2101224
7/2/2015,280.2,282.45,273.31,280.02,,7163930
7/6/2015,278.88,281.69,276.3,279.72,,4121933
7/7/2015,275,275.2,260.77,267.88,,6105126
7/8/2015,259.32,260.8,254.31,254.96,,6221077
7/9/2015,259.08,262.95,256.79,257.92,,3334077
7/10/2015,262.22,263,257.82,259.15,,2610858
7/13/2015,262.25,262.55,256.05,262.16,,2960319
7/14/2015,262.1,265.99,260.51,265.65,,1907641
7/15/2015,266.74,267.49,262.08,263.14,,2021621
7/16/2015,264.22,267.2,263.16,266.68,,1615961
7/17/2015,272.5,275.54,268.25,274.66,,5004099
7/20/2015,275,286.65,272.54,282.26,,4978454
7/21/2015,270.05,273.5,266.55,266.77,,6108686
7/22/2015,261.27,269.44,260.86,267.87,,3104960
7/23/2015,269.65,269.9,265.27,267.2,,2227239
7/24/2015,267.38,271.09,263.92,265.41,,2836498
7/27/2015,262.43,264.43,250.79,253.01,,4694192
7/28/2015,255.75,265.4,251.84,264.82,,3895808
7/29/2015,264.27,267.89,262,263.82,,2790095
7/30/2015,262.69,266.94,262.11,266.79,,2034560
7/31/2015,267.6,269.36,265.12,266.15,,2222552
8/3/2015,266.29,266.71,257.07,259.99,,2553474
8/4/2015,260.01,266.72,258.34,266.28,,2352530
8/5/2015,263.58,271,260.4,270.13,,6214319
